city,display_name,fips
ADJUNTAS,Adjuntas,72001
AGUADA,Aguada,72003
AGUADILLA,Aguadilla,72005
AGUAS_BUENAS,Aguas Buenas,72007
AIBONITO,Aibonito,72009
ANASCO,Añasco,72011
ARECIBO,Arecibo,72013
ARROYO,Arroyo,72015
BARCELONETA,Barceloneta,72017
BARRANQUITAS,Barranquitas,72019
BAYAMON,Bayamón,72021
CABO_ROJO,Cabo Rojo,72023
CAGUAS,Caguas,72025
CAMUY,Camuy,72027
CANOVANAS,Canóvanas,72029
CAROLINA,Carolina,72031
CATANO,Cataño,72033
CAYEY,Cayey,72035
CEIBA,Ceiba,72037
CIALES,Ciales,72039
CIDRA,Cidra,72041
COAMO,Coamo,72043
COMERIO,Comerío,72045
COROZAL,Corozal,72047
CULEBRA,Culebra,72049
DORADO,Dorado,72051
FAJARDO,Fajardo,72053
FLORIDA,Florida,72054
FUERA_DE_PR,Otro lugar fuera de PR,
GUANICA,Guánica,72055
GUAYAMA,Guayama,72057
GUAYANILLA,Guayanilla,72059
GUAYNABO,Guaynabo,72061
GURABO,Gurabo,72063
HATILLO,Hatillo,72065
HORMIGUEROS,Hormigueros,72067
HUMACAO,Humacao,72069
ISABELA,Isabela,72071
JAYUYA,Jayuya,72073
JUANA_DIAZ,Juana Díaz,72075
JUNCOS,Juncos,72077
LAJAS,Lajas,72079
LARES,Lares,72081
LAS_MARIAS,Las Marías,72083
LAS_PIEDRAS,Las Piedras,72085
LOIZA,Loíza,72087
LUQUILLO,Luquillo,72089
MANATI,Manatí,72091
MARICAO,Maricao,72093
MAUNABO,Maunabo,72095
MAYAGUEZ,Mayagüez,72097
MOCA,Moca,72099
MOROVIS,Morovis,72101
N/A,No disponible,
NAGUABO,Naguabo,72103
NARANJITO,Naranjito,72105
OROCOVIS,Orocovis,72107
PATILLAS,Patillas,72109
PENUELAS,Peñuelas,72111
PONCE,Ponce,72113
QUEBRADILLAS,Quebradillas,72115
RINCON,Rincón,72117
RIO_GRANDE,Río Grande,72119
SABANA_GRANDE,Sabana Grande,72121
SALINAS,Salinas,72123
SANTA_ISABEL,San Germán,72125
SAN_GERMAN,San Juan,72127
SAN_JUAN,San Lorenzo,72129
SAN_LORENZO,San Sebastián,72131
SAN_SEBASTIAN,Santa Isabel,72133
TOA_ALTA,Toa Alta,72135
TOA_BAJA,Toa Baja,72137
TRUJILLO_ALTO,Trujillo Alto,72139
UTUADO,Utuado,72141
VEGA_ALTA,Vega Alta,72143
VEGA_BAJA,Vega Baja,72145
VIEQUES,Vieques,72147
VILLALBA,Villalba,72149
YABUCOA,Yabucoa,72151
YAUCO,Yauco,72153
