municipality,abbreviation,col,row,x,y,center_to_hex_corner,radius,hex_width,hex_height
Aguada,AGD,0,0,1,-1.73205080756888,1,0.866025403784439,2,1.73205080756888
Rincón,RIN,0,1,1,-3.46410161513776,1,0.866025403784439,2,1.73205080756888
Mayagüez,MAY,0,2,1,-5.19615242270664,1,0.866025403784439,2,1.73205080756888
Hormigueros,HOR,0,3,1,-6.92820323027552,1,0.866025403784439,2,1.73205080756888
Cabo Rojo,CAB,0,4,1,-8.6602540378444,1,0.866025403784439,2,1.73205080756888
Aguadilla,AGL,1,0,3,-0.86602540378444,1,0.866025403784439,2,1.73205080756888
Moca,MOC,1,1,3,-2.59807621135332,1,0.866025403784439,2,1.73205080756888
Añasco,ANA,1,2,3,-4.3301270189222,1,0.866025403784439,2,1.73205080756888
San Germán,SGE,1,3,3,-6.06217782649108,1,0.866025403784439,2,1.73205080756888
Lajas,LAJ,1,4,3,-7.79422863405996,1,0.866025403784439,2,1.73205080756888
Isabela,ISA,2,0,5,-1.73205080756888,1,0.866025403784439,2,1.73205080756888
San Sebastián,SSE,2,1,5,-3.46410161513776,1,0.866025403784439,2,1.73205080756888
Las Marías,LMA,2,2,5,-5.19615242270664,1,0.866025403784439,2,1.73205080756888
Sabana Grande,SGR,2,3,5,-6.92820323027552,1,0.866025403784439,2,1.73205080756888
Guánica,GNC,2,4,5,-8.6602540378444,1,0.866025403784439,2,1.73205080756888
Quebradillas,QUE,3,1,7,-2.59807621135332,1,0.866025403784439,2,1.73205080756888
Lares,LAR,3,2,7,-4.3301270189222,1,0.866025403784439,2,1.73205080756888
Maricao,MAR,3,3,7,-6.06217782649108,1,0.866025403784439,2,1.73205080756888
Yauco,YAU,3,4,7,-7.79422863405996,1,0.866025403784439,2,1.73205080756888
Camuy,CAM,4,0,9,-1.73205080756888,1,0.866025403784439,2,1.73205080756888
Hatillo,HAT,4,1,9,-3.46410161513776,1,0.866025403784439,2,1.73205080756888
Utuado,UTU,4,2,9,-5.19615242270664,1,0.866025403784439,2,1.73205080756888
Adjuntas,ADJ,4,3,9,-6.92820323027552,1,0.866025403784439,2,1.73205080756888
Guayanilla,GYL,4,4,9,-8.6602540378444,1,0.866025403784439,2,1.73205080756888
Arecibo,ARE,5,1,11,-2.59807621135332,1,0.866025403784439,2,1.73205080756888
