name,popest2019,pop2020,fips_code,region
Adjuntas,17363,18020,72001,Ponce
Aguada,36694,38136,72003,Mayagüez
Aguadilla,50265,55101,72005,Mayagüez
Aguas Buenas,24814,24223,72007,Caguas
Aibonito,22108,24637,72009,Caguas
Añasco,26161,25596,72011,Mayagüez
Arecibo,81966,87754,72013,Arecibo
Arroyo,17238,15843,72015,Ponce
Barceloneta,23727,22657,72017,Arecibo
Barranquitas,27725,28983,72019,Bayamón
Bayamón,169269,185187,72021,Bayamón
Cabo Rojo,47515,47158,72023,Mayagüez
Caguas,124606,127244,72025,Caguas
Camuy,30504,32827,72027,Arecibo
Canóvanas,44674,42337,72029,Metro
Carolina,146984,154815,72031,Metro
Cataño,23121,23155,72033,Bayamón
Cayey,42409,41652,72035,Caguas
Ceiba,10904,11307,72037,Fajardo
Ciales,15808,16984,72039,Arecibo
Cidra,38307,39970,72041,Caguas
Coamo,38336,34668,72043,Ponce
Comerío,18648,18883,72045,Bayamón
Corozal,32293,34571,72047,Bayamón
Culebra,1714,1792,72049,Fajardo
Dorado,36141,35879,72051,Bayamón
Fajardo,29454,32124,72053,Fajardo
Florida,11317,11692,72054,Arecibo
Guánica,15383,13787,72055,Ponce
Guayama,39465,36614,72057,Ponce
Guayanilla,17623,17784,72059,Ponce
Guaynabo,83728,89780,72061,Metro
Gurabo,47093,40622,72063,Caguas
Hatillo,39218,38486,72065,Arecibo
Hormigueros,15518,15654,72067,Mayagüez
Humacao,50653,50896,72069,Caguas
Isabela,40423,42943,72071,Mayagüez
Jayuya,13891,14779,72073,Ponce
Juana Díaz,44679,46538,72075,Ponce
Juncos,38155,37012,72077,Caguas
Lajas,22010,23334,72079,Mayagüez
Lares,24276,28105,72081,Arecibo
Las Marías,7927,8874,72083,Mayagüez
Las Piedras,37007,35180,72085,Caguas
Loíza,24553,23693,72087,Metro
Luquillo,17665,17781,72089,Fajardo
Manatí,37287,39492,72091,Arecibo
Maricao,5430,4755,72093,Mayagüez
Maunabo,10321,10589,72095,Caguas
Mayagüez,71530,73077,72097,Mayagüez
Moca,34891,37460,72099,Mayagüez
Morovis,30335,28727,72101,Arecibo
Naguabo,25761,23386,72103,Caguas
Naranjito,27349,29241,72105,Bayamón
Orocovis,20220,21434,72107,Bayamón
Patillas,16211,15985,72109,Ponce
Peñuelas,19249,20399,72111,Ponce
Ponce,131881,137491,72113,Ponce
Quebradillas,22918,23638,72115,Arecibo
Rincón,13656,15187,72117,Mayagüez
Río Grande,48025,47060,72119,Fajardo
Sabana Grande,21712,22729,72121,Mayagüez
Salinas,27128,25789,72123,Ponce
San Germán,30227,31879,72125,Mayagüez
San Juan,318441,342259,72127,Metro
San Lorenzo,35989,37693,72129,Caguas
San Sebastián,35528,39345,72131,Mayagüez
Santa Isabel,21209,20281,72133,Ponce
Toa Alta,72025,66852,72135,Bayamón
Toa Baja,74271,75293,72137,Bayamón
Trujillo Alto,63674,67740,72139,Metro
Utuado,27395,28287,72141,Arecibo
Vega Alta,36061,35395,72143,Bayamón
Vega Baja,50023,54414,72145,Arecibo
Vieques,8386,8249,72147,Fajardo
Villalba,21372,22093,72149,Ponce
Yabucoa,32282,30426,72151,Caguas
Yauco,33575,34172,72153,Ponce
