state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator
PR,2021-01-18,1,13,55,1,13,55,3,68,9204,69,5036,69,396,68,22,69,51,68,1,68,6,68,450,69,57,68,53,69,352,68,294,69,44,68,7,68,696,69,0.5471534115601913,69,5036,9204,0.08075040783034258,68,396,4904,0.04390730679676239,68,396,9019,0.08571428571428572,68,57,665,0.646551724137931,69,450,696
PR,2021-01-17,1,0,68,1,0,68,4,68,9118,69,5008,69,386,68,14,69,42,68,1,68,4,68,442,69,53,68,54,69,344,68,289,69,42,68,7,68,684,69,0.5492432550998025,69,5008,9118,0.07916324856439705,68,386,4876,0.04321056755849099,68,386,8933,0.08116385911179173,68,53,653,0.6461988304093568,69,442,684
PR,2021-01-16,1,0,68,1,0,68,4,68,9467,69,5310,69,401,68,24,69,35,68,2,68,6,68,452,69,53,68,50,69,367,68,297,69,34,68,10,68,686,69,0.560895743107637,69,5310,9467,0.07735339506172839,68,401,5184,0.04320189614307261,68,401,9282,0.08091603053435115,68,53,655,0.6588921282798834,69,452,686
PR,2021-01-15,1,0,68,1,0,68,4,68,9416,69,5234,69,397,68,18,69,35,68,3,68,7,68,429,69,50,68,50,69,366,68,298,69,31,68,15,68,683,69,0.5558623619371283,69,5234,9416,0.07784313725490197,68,397,5100,0.043007258151879536,68,397,9231,0.07668711656441718,68,50,652,0.6281112737920937,69,429,683
PR,2021-01-14,1,0,68,1,0,68,4,68,9475,69,5333,69,420,68,22,69,47,68,1,68,11,68,415,69,51,68,54,69,377,68,308,69,43,68,15,68,675,69,0.5628496042216359,69,5333,9475,0.08083140877598152,68,420,5196,0.04520990312163617,68,420,9290,0.07919254658385093,68,51,644,0.6148148148148148,69,415,675
PR,2021-01-13,9,59,1,10,58,1,4,68,9464,69,5095,69,406,68,21,69,35,68,0,68,13,68,430,69,60,68,60,69,367,68,315,69,39,68,12,68,687,69,0.5383558748943365,69,5095,9464,0.08182184602982669,68,406,4962,0.043754714947731435,68,406,9279,0.09146341463414634,68,60,656,0.6259097525473072,69,430,687
PR,2021-01-12,0,1,68,0,1,68,3,68,9414,69,4894,69,405,68,29,69,43,68,0,68,8,68,438,69,76,68,70,69,379,68,302,69,26,68,7,68,674,69,0.5198640322923306,69,4894,9414,0.08506616257088846,68,405,4761,0.04388341098710586,68,405,9229,0.1181959564541213,68,76,643,0.6498516320474778,69,438,674
PR,2021-01-11,1,0,68,1,0,68,4,68,9339,69,4802,69,408,68,22,69,44,68,0,68,12,68,414,69,69,68,63,69,382,68,302,69,26,68,6,68,664,69,0.5141878145411715,69,4802,9339,0.08727272727272728,68,408,4675,0.044570679484378414,68,408,9154,0.10900473933649289,68,69,633,0.6234939759036144,69,414,664
PR,2021-01-10,0,1,68,0,1,68,3,68,9290,69,4779,69,417,68,14,69,35,68,0,68,6,68,411,69,65,68,59,69,387,68,300,69,30,68,10,68,661,69,0.5144241119483315,69,4779,9290,0.08950418544752092,68,417,4659,0.04579398198989677,68,417,9106,0.10317460317460317,68,65,630,0.6217851739788199,69,411,661
PR,2021-01-09,1,0,68,1,0,68,5,68,9361,69,4714,69,434,68,33,69,42,68,0,68,7,68,419,69,75,68,65,69,393,68,303,69,41,68,9,68,660,69,0.5035786774917209,69,4714,9361,0.0943683409436834,68,434,4599,0.04729214340198322,68,434,9177,0.1192368839427663,68,75,629,0.6348484848484849,69,419,660
