bulletin_date,datum_date,confirmed_and_probable_cases,confirmed_cases,probable_cases,deaths,positive_molecular_tests,molecular_tests
2020-04-22,2020-03-09,,1,,,,
2020-04-22,2020-03-10,,,,,,
2020-04-22,2020-03-11,,,,,,
2020-04-22,2020-03-12,,,,,,
2020-04-22,2020-03-13,,2,,,,
2020-04-22,2020-03-14,,3,,,,
2020-04-22,2020-03-15,,,,,,
2020-04-22,2020-03-16,,7,,,,
2020-04-22,2020-03-17,,6,,,,
2020-04-22,2020-03-18,,6,,,,
2020-04-22,2020-03-19,,5,,,,
2020-04-22,2020-03-20,,10,,,,
2020-04-22,2020-03-21,,10,,,,
2020-04-22,2020-03-22,,8,,,,
2020-04-22,2020-03-23,,28,,,,
2020-04-22,2020-03-24,,44,,,,
2020-04-22,2020-03-25,,38,,,,
2020-04-22,2020-03-26,,53,,,,
2020-04-22,2020-03-27,,46,,,,
2020-04-22,2020-03-28,,18,,,,
2020-04-22,2020-03-29,,12,,,,
2020-04-22,2020-03-30,,82,,,,
2020-04-22,2020-03-31,,57,,,,
2020-04-22,2020-04-01,,74,,,,
2020-04-22,2020-04-02,,49,,,,
2020-04-22,2020-04-03,,49,,,,
2020-04-22,2020-04-04,,11,,,,
2020-04-22,2020-04-05,,3,,,,
2020-04-22,2020-04-06,,44,,,,
2020-04-22,2020-04-07,,31,,,,
2020-04-22,2020-04-08,,23,,,,
2020-04-22,2020-04-09,,37,,,,
2020-04-22,2020-04-10,,2,,,,
2020-04-22,2020-04-11,,12,,,,
2020-04-22,2020-04-12,,4,,,,
2020-04-22,2020-04-13,,21,,,,
2020-04-22,2020-04-14,,20,,,,
2020-04-22,2020-04-15,,17,,,,
2020-04-22,2020-04-16,,11,,,,
2020-04-22,2020-04-17,,4,,,,
2020-04-22,2020-04-18,,,,,,
2020-04-22,2020-04-19,,,,,,
2020-04-22,2020-04-20,,1,,,,
2020-04-23,2020-03-09,1,,,,,
2020-04-23,2020-03-10,,,,,,
2020-04-23,2020-03-11,,,,,,
2020-04-23,2020-03-12,,,,,,
2020-04-23,2020-03-13,2,,,,,
2020-04-23,2020-03-14,3,,,,,
2020-04-23,2020-03-15,,,,,,
2020-04-23,2020-03-16,7,,,,,
2020-04-23,2020-03-17,6,,,,,
2020-04-23,2020-03-18,6,,,,,
2020-04-23,2020-03-19,5,,,,,
2020-04-23,2020-03-20,10,,,,,
2020-04-23,2020-03-21,10,,,,,
2020-04-23,2020-03-22,8,,,,,
2020-04-23,2020-03-23,28,,,,,
2020-04-23,2020-03-24,44,,,,,
2020-04-23,2020-03-25,38,,,,,
2020-04-23,2020-03-26,72,,,,,
