bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-11-06,< 10,2,4.3,1,3.3,3,3.9
2020-11-06,10-19,2,4.3,0,0.0,2,2.6
2020-11-06,20-29,8,17,6,20.0,14,18.2
2020-11-06,30-39,6,12.8,5,16.7,11,14.3
2020-11-06,40-49,8,17,7,23.3,15,19.5
2020-11-06,50-59,5,10.6,3,10.0,8,10.4
2020-11-06,60-69,4,8.5,3,10.0,7,9.1
2020-11-06,70-79,1,2.1,2,6.7,3,3.9
2020-11-06,≥ 80,11,23.4,3,10.0,14,18.2
2020-11-06,No disponible,0,,0,,0,
2020-11-06,Total,47,100.0,30,100.0,77,100.0
2020-11-07,< 10,4,4.3,1,3.3,5,5.0
2020-11-07,10-19,2,4.3,3,0.0,5,5.0
2020-11-07,20-29,8,17,12,20.0,20,19.8
2020-11-07,30-39,7,12.8,7,16.7,14,13.9
2020-11-07,40-49,11,17,6,23.3,17,16.8
2020-11-07,50-59,7,10.6,5,10.0,12,11.9
2020-11-07,60-69,4,8.5,4,10.0,8,7.9
2020-11-07,70-79,2,2.1,3,6.7,5,5.0
2020-11-07,≥ 80,11,23.4,4,10.0,15,14.9
2020-11-07,No disponible,0,,0,,0,
2020-11-07,Total,56,100.0,45,100.0,101,100.0
2020-11-08,< 10,4,6.7,1,2.1,5,4.7
2020-11-08,10-19,2,3.3,3,6.4,5,4.7
2020-11-08,20-29,7,11.7,12,25.5,19,17.8
2020-11-08,30-39,7,11.7,7,14.9,14,13.1
2020-11-08,40-49,13,21.7,6,12.8,19,17.8
2020-11-08,50-59,9,15.0,7,14.9,16,15.0
2020-11-08,60-69,4,6.7,4,8.5,8,7.5
2020-11-08,70-79,3,5.0,3,6.4,6,5.6
2020-11-08,≥ 80,11,18.3,4,8.5,15,14.0
2020-11-08,No disponible,0,,0,,0,
2020-11-08,Total,60,100.0,47,100.0,107,100.0
2020-11-09,< 10,5,5.2,5,6.3,10,5.7
2020-11-09,10-19,3,3.1,5,6.3,8,4.6
2020-11-09,20-29,13,13.5,14,17.7,27,15.4
2020-11-09,30-39,10,10.4,11,13.9,21,12
2020-11-09,40-49,21,21.9,12,15.2,33,18.9
2020-11-09,50-59,13,13.5,11,13.9,24,13.7
2020-11-09,60-69,6,6.3,8,10.1,14,8
2020-11-09,70-79,9,9.4,6,7.6,15,8.6
2020-11-09,≥ 80,16,16.7,7,8.9,23,13.1
2020-11-09,No disponible,0,,0,,0,
2020-11-09,Total,96,100.0,79,100.0,175,100.0
2020-11-10,< 10,5,2.7,6,4.4,11,3.4
2020-11-10,10-19,12,6.6,11,8.1,23,7.2
2020-11-10,20-29,24,13.1,24,17.6,48,15
2020-11-10,30-39,27,14.8,24,17.6,51,16
2020-11-10,40-49,31,16.9,19,14,50,15.7
2020-11-10,50-59,25,13.7,18,13.2,43,13.5
2020-11-10,60-69,12,6.6,15,11,27,8.5
2020-11-10,70-79,17,9.3,10,7.4,27,8.5
2020-11-10,≥ 80,30,16.4,9,6.6,39,12.2
2020-11-10,No disponible,2,,0,,2,
2020-11-10,Total,185,100.0,136,100.0,321,100.0
2020-11-11,< 10,6,2.3,10,4.5,16,3.3
2020-11-11,10-19,14,5.4,16,7.2,30,6.2
2020-11-11,20-29,36,13.9,38,17.1,74,15.4
2020-11-11,30-39,39,15.1,43,19.4,82,17.0
2020-11-11,40-49,43,16.6,35,15.8,78,16.2
2020-11-11,50-59,47,18.1,33,14.9,80,16.6
2020-11-11,60-69,17,6.6,23,10.4,40,8.3
2020-11-11,70-79,21,8.1,11,5.0,32,6.7
2020-11-11,≥ 80,36,13.9,13,5.9,49,10.2
2020-11-11,No disponible,2,,1,,3,
2020-11-11,Total,261,100.0,223,100.0,484,100.0
2020-11-12,< 10,6,2.1,13,5.0,19,3.5
2020-11-12,10-19,18,6.4,22,8.5,40,7.4
2020-11-12,20-29,38,13.5,43,16.5,81,14.9
2020-11-12,30-39,45,16.0,47,18.1,92,17.0
2020-11-12,40-49,49,17.4,41,15.8,90,16.6
2020-11-12,50-59,49,17.4,46,17.7,95,17.5
2020-11-12,60-69,17,6.0,23,8.8,40,7.4
2020-11-12,70-79,22,7.8,12,4.6,34,6.3
2020-11-12,≥ 80,38,13.5,13,5.0,51,9.4
2020-11-12,No disponible,2,,1,,3,
2020-11-12,Total,284,100.0,261,100.0,545,100.0
2020-11-13,< 10,8,2.6,17,6.0,25,4.2
2020-11-13,10-19,20,6.5,26,9.1,46,7.7
2020-11-13,20-29,40,12.9,48,16.8,88,14.8
2020-11-13,30-39,50,16.1,49,17.2,99,16.6
2020-11-13,40-49,54,17.4,46,16.1,100,16.8
2020-11-13,50-59,53,17.1,49,17.2,102,17.1
2020-11-13,60-69,21,6.8,25,8.8,46,7.7
2020-11-13,70-79,24,7.7,12,4.2,36,6.1
2020-11-13,≥ 80,40,12.9,13,4.6,53,8.9
2020-11-13,No disponible,2,,1,,3,
2020-11-13,Total,312,100.0,286,100.0,598,100.0
2020-11-14,< 10,9,2.6,18,5.5,27,4.0
2020-11-14,10-19,23,6.6,28,8.6,51,7.5
2020-11-14,20-29,52,14.8,61,18.8,113,16.7
2020-11-14,30-39,52,14.8,53,16.3,105,15.5
2020-11-14,40-49,58,16.5,55,16.9,113,16.7
2020-11-14,50-59,62,17.7,54,16.6,116,17.2
2020-11-14,60-69,25,7.1,26,8.0,51,7.5
2020-11-14,70-79,23,6.6,12,3.7,35,5.2
2020-11-14,≥ 80,47,13.4,18,5.5,65,9.6
2020-11-14,No disponible,3,,2,,5,
2020-11-14,Total,354,100.0,327,100.0,681,100.0
2020-11-15,< 10,11,2.8,19,5.6,30,4.1
2020-11-15,10-19,26,6.7,30,8.8,56,7.7
2020-11-15,20-29,58,14.9,67,19.6,125,17.1
2020-11-15,30-39,53,13.6,53,15.5,106,14.5
2020-11-15,40-49,61,15.6,55,16.1,116,15.8
2020-11-15,50-59,71,18.2,57,16.7,128,17.5
2020-11-15,60-69,28,7.2,28,8.2,56,7.7
2020-11-15,70-79,28,7.2,13,3.8,41,5.6
2020-11-15,≥ 80,54,13.8,20,5.8,74,10.1
2020-11-15,No disponible,3,,2,,5,
2020-11-15,Total,393,100.0,344,100.0,737,100.0
2020-11-16,< 10,23,5.5,15,4.0,38,4.8
2020-11-16,10-19,33,8.0,31,8.2,64,8.1
2020-11-16,20-29,69,16.6,68,18.1,137,17.3
2020-11-16,30-39,50,12.0,60,16.0,110,13.9
2020-11-16,40-49,72,17.3,55,14.6,127,16.1
2020-11-16,50-59,70,16.9,65,17.3,135,17.1
2020-11-16,60-69,30,7.2,33,8.8,63,8.0
2020-11-16,70-79,25,6.0,19,5.1,44,5.6
2020-11-16,≥ 80,43,10.4,30,8.0,73,9.2
2020-11-16,No disponible,3,,1,,4,
2020-11-16,Total,418,100.0,377,100.0,795,100.0
2020-11-17,< 10,13,2.9,28,6.7,41,4.7
2020-11-17,10-19,37,8.1,39,9.3,76,8.7
2020-11-17,20-29,74,16.3,78,18.6,152,17.4
2020-11-17,30-39,61,13.4,56,13.3,117,13.4
2020-11-17,40-49,69,15.2,77,18.3,146,16.7
2020-11-17,50-59,81,17.8,69,16.4,150,17.2
2020-11-17,60-69,33,7.3,37,8.8,70,8.0
2020-11-17,70-79,31,6.8,17,4.0,48,5.5
2020-11-17,≥ 80,55,12.1,19,4.5,74,8.5
2020-11-17,No disponible,3,,2,,5,
2020-11-17,Total,457,100.0,422,100.0,879,100.0
2020-11-18,< 10,16,3.0,31,6.3,47,4.6
2020-11-18,10-19,40,7.5,46,9.3,86,8.4
2020-11-18,20-29,85,16.0,89,18.1,174,17.0
2020-11-18,30-39,74,13.9,71,14.4,145,14.2
2020-11-18,40-49,82,15.4,87,17.6,169,16.5
2020-11-18,50-59,90,16.9,79,16.0,169,16.5
2020-11-18,60-69,44,8.3,49,9.9,93,9.1
2020-11-18,70-79,39,7.3,19,3.9,58,5.7
2020-11-18,≥ 80,61,11.5,22,4.5,83,8.1
2020-11-18,No disponible,2,,2,,4,
2020-11-18,Total,533,100.0,495,100.0,1028,100.0
2020-11-19,< 10,17,3.1,35,6.9,52,4.9
2020-11-19,10-19,40,7.3,48,9.5,88,8.3
2020-11-19,20-29,89,16.2,92,18.2,181,17.2
2020-11-19,30-39,75,13.6,69,13.7,144,13.6
2020-11-19,40-49,86,15.6,86,17.0,172,16.3
2020-11-19,50-59,90,16.4,80,15.8,170,16.1
2020-11-19,60-69,49,8.9,46,9.1,95,9.0
2020-11-19,70-79,38,6.9,23,4.6,61,5.8
2020-11-19,≥ 80,66,12.0,26,5.1,92,8.7
2020-11-19,No disponible,2,,1,,3,
2020-11-19,Total,552,100.0,506,100.0,1058,100.0
2020-11-20,< 10,20,3.3,39,7.1,59,5.1
2020-11-20,10-19,45,7.4,55,10.0,100,8.6
2020-11-20,20-29,93,15.2,99,17.9,192,16.5
2020-11-20,30-39,87,14.3,77,13.9,164,14.1
2020-11-20,40-49,97,15.9,92,16.7,189,16.3
2020-11-20,50-59,100,16.4,87,15.8,187,16.1
2020-11-20,60-69,56,9.2,49,8.9,105,9.0
2020-11-20,70-79,39,6.4,25,4.5,64,5.5
2020-11-20,≥ 80,73,12.0,29,5.3,102,8.8
2020-11-20,No disponible,2,,2,,4,
2020-11-20,Total,612,100.0,554,100.0,1166,100.0
2020-11-21,< 10,20,3.1,41,7.2,61,5.0
2020-11-21,10-19,49,7.6,61,10.7,110,9.1
2020-11-21,20-29,98,15.3,102,17.8,200,16.5
2020-11-21,30-39,96,15.0,82,14.3,178,14.7
2020-11-21,40-49,103,16.1,97,17.0,200,16.5
2020-11-21,50-59,105,16.4,88,15.4,193,15.9
2020-11-21,60-69,62,9.7,49,8.6,111,9.2
2020-11-21,70-79,40,6.2,24,4.2,64,5.3
2020-11-21,≥ 80,68,10.6,28,4.9,96,7.9
2020-11-21,No disponible,6,,5,,11,
2020-11-21,Total,647,100.0,577,100.0,1224,100.0
2020-11-22,< 10,21,3.1,44,7.5,65,5.1
2020-11-22,10-19,55,8.1,60,10.2,115,9.1
2020-11-22,20-29,99,14.6,103,17.5,202,15.9
2020-11-22,30-39,98,14.4,88,15.0,186,14.7
2020-11-22,40-49,114,16.8,97,16.5,211,16.7
2020-11-22,50-59,111,16.3,90,15.3,201,15.9
2020-11-22,60-69,64,9.4,52,8.8,116,9.2
2020-11-22,70-79,44,6.5,24,4.1,68,5.4
2020-11-22,≥ 80,73,10.8,30,5.1,103,8.1
2020-11-22,No disponible,5,,5,,10,
2020-11-22,Total,684,100.0,593,100.0,1277,100.0
2020-11-23,< 10,24,3.4,45,7.4,69,5.2
2020-11-23,10-19,56,7.9,61,10.0,117,8.9
2020-11-23,20-29,106,14.9,109,17.9,215,16.3
2020-11-23,30-39,101,14.2,92,15.1,193,14.6
2020-11-23,40-49,118,16.6,99,16.3,217,16.4
2020-11-23,50-59,116,16.3,94,15.5,210,15.9
2020-11-23,60-69,68,9.6,53,8.7,121,9.2
2020-11-23,70-79,49,6.9,25,4.1,74,5.6
2020-11-23,≥ 80,74,10.4,30,4.9,104,7.9
2020-11-23,No disponible,6,,6,,12,
2020-11-23,Total,718,100.0,614,100.0,1332,100.0
2020-11-24,< 10,26,3.5,47,7.5,73,5.3
2020-11-24,10-19,56,7.6,61,9.7,117,8.6
2020-11-24,20-29,110,14.9,109,17.4,219,16.0
