bulletin_date,age_range,female,female_pct,male,male_pct,cases,cases_pct
2020-04-24,< 10,7,1.6,9,2.0,16,1.8
2020-04-24,10-19,21,4.9,11,2.4,32,3.6
2020-04-24,20-29,65,15.2,57,12.7,122,13.9
2020-04-24,30-39,71,16.6,67,14.9,138,15.7
2020-04-24,40-49,70,16.3,91,20.3,161,18.3
2020-04-24,50-59,96,22.4,93,20.7,189,21.5
2020-04-24,60-69,59,13.8,66,14.7,125,14.2
2020-04-24,70-79,21,4.9,36,8.0,57,6.5
2020-04-24,≥ 80,19,4.4,19,4.2,38,4.3
2020-04-24,Total,429,100.0,449,100.0,878,100.0
2020-04-25,< 10,7,1.6,10,2.2,17,1.9
2020-04-25,10-19,21,4.8,12,2.6,33,3.7
2020-04-25,20-29,67,15.4,58,12.7,125,14.0
2020-04-25,30-39,71,16.3,67,14.7,138,15.5
2020-04-25,40-49,72,16.6,93,20.4,165,18.5
2020-04-25,50-59,97,22.3,95,20.8,192,21.5
2020-04-25,60-69,59,13.6,66,14.5,125,14.0
2020-04-25,70-79,21,4.8,36,7.9,57,6.4
2020-04-25,≥ 80,20,4.6,19,4.2,39,4.4
2020-04-25,Total,435,100.0,456,100.0,891,100.0
2020-04-26,< 10,7,1.6,10,2.2,17,1.9
2020-04-26,10-19,21,4.8,12,2.6,33,3.7
2020-04-26,20-29,68,15.6,58,12.7,126,14.1
2020-04-26,30-39,72,16.5,67,14.6,139,15.5
2020-04-26,40-49,74,16.9,93,20.3,167,18.7
2020-04-26,50-59,96,22.0,96,21.0,192,21.5
2020-04-26,60-69,58,13.3,66,14.4,124,13.9
2020-04-26,70-79,21,4.8,37,8.1,58,6.5
2020-04-26,≥ 80,20,4.6,19,4.1,39,4.4
2020-04-26,Total,437,100.0,458,100.0,895,100.0
2020-04-27,< 10,7,1.6,10,2.2,17,1.9
2020-04-27,10-19,20,4.6,12,2.6,32,3.6
2020-04-27,20-29,68,15.5,58,12.7,126,14.0
2020-04-27,30-39,72,16.4,68,14.8,140,15.6
2020-04-27,40-49,76,17.3,93,20.3,169,18.8
2020-04-27,50-59,97,22.1,96,21.0,193,21.5
2020-04-27,60-69,58,13.2,66,14.4,124,13.8
2020-04-27,70-79,21,4.8,37,8.1,58,6.5
2020-04-27,≥ 80,20,4.6,18,3.9,38,4.2
2020-04-27,No disponible,1,,,,1,
2020-04-27,Total,440,100.0,458,100.0,898,100.0
2020-04-28,< 10,7,1.6,10,2.2,17,1.9
2020-04-28,10-19,21,4.7,12,2.6,33,3.7
2020-04-28,20-29,68,15.3,59,12.8,127,14.1
2020-04-28,30-39,72,16.3,68,14.8,140,15.5
2020-04-28,40-49,76,17.2,94,20.4,170,18.8
2020-04-28,50-59,99,22.3,96,20.9,195,21.6
2020-04-28,60-69,58,13.1,66,14.3,124,13.7
2020-04-28,70-79,22,5.0,37,8.0,59,6.5
2020-04-28,≥ 80,20,4.5,18,3.9,38,4.2
2020-04-28,No disponible,1,,,,1,
