datum_date,Arecibo,Bayamón,Caguas,Fajardo,Mayagüez,Metro,Ponce,Total
2020-04-18,22,12,15,0,28,69,19,165
2020-04-19,27,2,9,0,30,68,24,160
2020-04-20,27,15,5,0,30,52,22,151
2020-04-21,17,4,8,0,16,60,12,117
2020-04-22,24,8,11,0,20,68,9,140
2020-04-23,32,14,14,0,15,71,8,154
2020-04-24,29,6,21,0,25,75,16,172
2020-04-25,30,0,18,0,0,73,16,137
2020-04-26,22,7,14,0,21,59,23,146
2020-04-27,20,12,13,4,23,48,20,140
2020-04-28,24,0,25,2,0,63,18,132
2020-04-29,32,0,16,2,0,55,20,125
2020-04-30,42,13,28,0,27,71,20,201
2020-05-01,30,11,32,1,33,61,32,200
2020-05-02,32,10,31,2,35,50,27,187
2020-05-03,34,8,26,1,31,46,25,171
2020-05-04,27,5,27,1,33,38,21,152
2020-05-05,20,6,26,1,31,33,23,140
2020-05-06,24,9,18,0,32,33,28,144
2020-05-07,26,8,21,0,38,45,26,164
2020-05-08,28,11,21,1,39,40,21,161
2020-05-09,26,14,12,1,40,37,18,148
2020-05-10,31,16,9,0,25,45,17,143
2020-05-11,31,14,25,0,32,43,14,159
2020-05-12,22,16,21,0,30,32,6,127
2020-05-13,31,17,21,2,33,28,10,142
2020-05-14,36,16,20,2,42,29,14,159
2020-05-15,28,18,23,1,28,28,21,147
2020-05-16,25,12,22,1,42,27,15,144
2020-05-17,27,6,28,1,38,35,15,150
2020-05-18,29,6,29,1,40,31,11,147
2020-05-19,16,13,30,1,23,24,14,121
2020-05-20,13,19,21,0,25,22,10,110
2020-05-21,13,18,19,0,24,25,15,114
2020-05-22,10,9,18,0,24,17,18,96
2020-05-23,21,13,15,0,21,19,17,106
2020-05-24,17,12,15,0,27,22,13,106
2020-05-25,24,14,21,1,20,18,14,112
2020-05-26,24,8,16,1,16,25,14,104
2020-05-27,22,9,11,0,13,35,15,105
2020-05-28,23,9,16,0,19,39,14,120
2020-05-29,21,9,8,0,20,32,11,101
2020-05-30,26,10,11,1,20,28,10,106
2020-05-31,21,8,6,0,22,32,10,99
2020-06-01,22,8,8,1,27,25,8,99
2020-06-02,21,5,16,1,27,24,12,106
2020-06-03,16,12,13,0,21,35,10,107
2020-06-04,21,7,11,1,24,38,12,114
2020-06-05,19,11,17,1,34,23,11,116
2020-06-06,19,9,10,3,29,17,13,100
2020-06-07,17,10,8,5,30,21,14,105
2020-06-08,20,10,18,4,32,18,5,107
2020-06-09,17,11,14,0,26,15,12,95
2020-06-10,19,12,14,1,28,17,6,97
2020-06-11,19,9,7,1,31,18,6,91
2020-06-12,17,7,13,0,26,24,5,92
2020-06-13,15,9,10,1,46,32,4,117
2020-06-14,15,8,12,1,33,38,3,110
2020-06-15,16,6,12,0,31,37,2,104
2020-06-16,11,5,12,0,28,28,10,94
2020-06-17,12,8,14,0,7,29,8,78
2020-06-18,11,9,14,0,8,25,6,73
2020-06-19,16,9,7,1,21,19,5,78
2020-06-20,12,11,9,1,24,19,7,83
2020-06-21,11,13,5,1,18,18,5,71
2020-06-22,8,10,5,2,21,17,7,70
2020-06-23,12,15,9,0,16,19,6,77
2020-06-24,9,11,12,0,18,25,5,80
2020-06-25,15,7,10,0,25,27,1,85
2020-06-26,15,8,5,0,26,30,5,89
2020-06-27,11,10,12,2,28,35,7,105
2020-06-28,11,18,12,2,26,27,3,99
2020-06-29,12,14,8,2,31,34,3,104
2020-06-30,12,19,12,2,26,29,2,102
2020-07-01,13,21,10,4,38,32,3,121
2020-07-02,16,10,6,1,19,37,8,97
2020-07-03,15,15,9,1,25,31,8,104
2020-07-04,13,14,6,1,26,31,9,100
2020-07-05,14,16,6,1,29,45,7,118
2020-07-06,21,16,7,0,26,36,9,115
2020-07-07,25,14,19,1,25,32,6,122
2020-07-08,22,16,13,3,25,39,9,127
2020-07-09,20,11,21,3,28,54,10,147
2020-07-10,,,,,,,,140
2020-07-11,,,,,,,,174
2020-07-12,,,,,,,,174
2020-07-13,,,,,,,,159
2020-07-14,,,,,,,,206
2020-07-15,,,,,,,,254
2020-07-16,,,,,,,,280
2020-07-17,,,,,,,,302
2020-07-18,,,,,,,,316
2020-07-19,,,,,,,,315
2020-07-20,,,,,,,,336
2020-07-21,,,,,,,,375
2020-07-22,,,,,,,,415
2020-07-23,,,,,,,,442
2020-07-24,,,,,,,,460
2020-07-25,,,,,,,,496
2020-07-26,,,,,,,,496
2020-07-27,,,,,,,,509
2020-07-28,,,,,,,,469
2020-07-29,,,,,,,,495
2020-07-30,,,,,,,,504
2020-07-31,,,,,,,,488
2020-08-01,,,,,,,,508
2020-08-02,,,,,,,,506
2020-08-03,,,,,,,,533
2020-08-04,,,,,,,,509
2020-08-05,,,,,,,,507
2020-08-06,,,,,,,,456
2020-08-07,,,,,,,,440
2020-08-08,,,,,,,,399
2020-08-09,,,,,,,,424
2020-08-10,,,,,,,,423
2020-08-11,,,,,,,,439
2020-08-12,,,,,,,,447
2020-08-13,,,,,,,,466
2020-08-14,,,,,,,,428
2020-08-15,,,,,,,,406
2020-08-16,,,,,,,,393
2020-08-17,,,,,,,,400
2020-08-18,,,,,,,,392
2020-08-19,,,,,,,,361
2020-08-20,,,,,,,,390
2020-08-21,,,,,,,,392
2020-08-22,,,,,,,,401
2020-08-23,,,,,,,,370
2020-08-24,,,,,,,,363
2020-08-25,,,,,,,,391
2020-08-26,,,,,,,,397
2020-08-27,,,,,,,,403
2020-08-28,,,,,,,,409
2020-08-29,,,,,,,,365
2020-08-30,,,,,,,,365
