bulletin_date,datum_date,positive_molecular_tests,molecular_tests
2020-05-20,2020-03-14,0,2
2020-05-20,2020-03-15,,
2020-05-20,2020-03-16,5,16
2020-05-20,2020-03-17,1,20
2020-05-20,2020-03-18,5,28
2020-05-20,2020-03-19,4,46
2020-05-20,2020-03-20,13,62
2020-05-20,2020-03-21,11,45
2020-05-20,2020-03-22,2,3
2020-05-20,2020-03-23,24,60
2020-05-20,2020-03-24,47,136
2020-05-20,2020-03-25,34,159
2020-05-20,2020-03-26,69,336
2020-05-20,2020-03-27,45,380
2020-05-20,2020-03-28,19,180
2020-05-20,2020-03-29,2,10
2020-05-20,2020-03-30,81,666
2020-05-20,2020-03-31,46,582
2020-05-20,2020-04-01,45,735
2020-05-20,2020-04-02,31,728
2020-05-20,2020-04-03,34,815
2020-05-20,2020-04-04,7,184
2020-05-20,2020-04-05,6,85
2020-05-20,2020-04-06,49,704
2020-05-20,2020-04-07,36,945
2020-05-20,2020-04-08,38,863
2020-05-20,2020-04-09,36,847
2020-05-20,2020-04-10,7,143
2020-05-20,2020-04-11,13,218
2020-05-20,2020-04-12,6,110
2020-05-20,2020-04-13,44,768
2020-05-20,2020-04-14,40,965
2020-05-20,2020-04-15,56,962
2020-05-20,2020-04-16,47,806
2020-05-20,2020-04-17,34,1001
2020-05-20,2020-04-18,22,447
2020-05-20,2020-04-19,4,80
2020-05-20,2020-04-20,41,1014
2020-05-20,2020-04-21,52,950
2020-05-20,2020-04-22,56,1049
2020-05-20,2020-04-23,37,1002
2020-05-20,2020-04-24,34,1010
2020-05-20,2020-04-25,7,451
2020-05-20,2020-04-26,1,110
2020-05-20,2020-04-27,35,952
2020-05-20,2020-04-28,36,1722
2020-05-20,2020-04-29,44,1700
2020-05-20,2020-04-30,41,1673
2020-05-20,2020-05-01,25,2132
2020-05-20,2020-05-02,15,733
2020-05-20,2020-05-03,1,95
2020-05-20,2020-05-04,20,1412
2020-05-20,2020-05-05,23,1464
2020-05-20,2020-05-06,17,1308
2020-05-20,2020-05-07,15,1355
2020-05-20,2020-05-08,28,1817
2020-05-20,2020-05-09,3,330
2020-05-20,2020-05-10,1,86
2020-05-20,2020-05-11,14,690
2020-05-20,2020-05-12,11,617
2020-05-20,2020-05-13,6,883
2020-05-20,2020-05-14,6,581
2020-05-20,2020-05-15,12,635
2020-05-20,2020-05-16,3,187
2020-05-20,2020-05-17,2,114
2020-05-20,2020-05-18,0,565
2020-05-20,2020-05-19,3,329
