bulletin_date,municipality,count,percent
2020-06-03,"Adjuntas",7,0.6
2020-06-03,"Aguada",10,0.8
2020-06-03,"Aguadilla",15,1.2
2020-06-03,"Aguas Buenas",16,1.3
2020-06-03,"Aibonito",8,0.6
2020-06-03,"Añasco",7,0.6
2020-06-03,"Arecibo",18,1.4
2020-06-03,"Arroyo",4,0.3
2020-06-03,"Barceloneta",1,0.1
2020-06-03,"Barranquitas",9,0.7
2020-06-03,"Bayamón",80,6.4
2020-06-03,"Cabo Rojo",19,1.5
2020-06-03,"Caguas",47,3.8
2020-06-03,"Camuy",1,0.1
2020-06-03,"Canóvanas",15,1.2
2020-06-03,"Carolina",77,6.2
2020-06-03,"Cataño",7,0.6
2020-06-03,"Cayey",11,0.9
2020-06-03,"Ceiba",7,0.6
2020-06-03,"Ciales",5,0.4
2020-06-03,"Cidra",11,0.9
2020-06-03,"Coamo",4,0.3
2020-06-03,"Comerío",3,0.2
2020-06-03,"Corozal",7,0.6
2020-06-03,"Dorado",13,1.0
2020-06-03,"Fajardo",2,0.2
2020-06-03,"Florida",2,0.2
2020-06-03,"Guánica",18,1.4
2020-06-03,"Guayama",6,0.5
2020-06-03,"Guayanilla",4,0.3
2020-06-03,"Guaynabo",83,6.7
2020-06-03,"Gurabo",10,0.8
2020-06-03,"Hatillo",10,0.8
2020-06-03,"Hormigueros",13,1.0
2020-06-03,"Humacao",7,0.6
2020-06-03,"Isabela",14,1.1
2020-06-03,"Jayuya",2,0.2
2020-06-03,"Juana Díaz",14,1.1
2020-06-03,"Juncos",5,0.4
2020-06-03,"Lajas",6,0.5
2020-06-03,"Lares",3,0.2
2020-06-03,"Las Marías",7,0.6
2020-06-03,"Las Piedras",11,0.9
2020-06-03,"Loíza",4,0.3
2020-06-03,"Luquillo",7,0.6
2020-06-03,"Manatí",5,0.4
2020-06-03,"Maricao",2,0.2
2020-06-03,"Maunabo",3,0.2
2020-06-03,"Mayagüez",44,3.5
2020-06-03,"Moca",18,1.4
2020-06-03,"Morovis",2,0.2
2020-06-03,"Naguabo",2,0.2
2020-06-03,"Naranjito",1,0.1
2020-06-03,"Orocovis",9,0.7
2020-06-03,"Patillas",4,0.3
2020-06-03,"Peñuelas",5,0.4
2020-06-03,"Ponce",48,3.9
2020-06-03,"Quebradillas",18,1.4
2020-06-03,"Rincón",4,0.3
2020-06-03,"Rio Grande",11,0.9
2020-06-03,"Sabana Grande",16,1.3
2020-06-03,"Salinas",9,0.7
2020-06-03,"San Germán",19,1.5
2020-06-03,"San Juan",229,18.4
2020-06-03,"San Lorenzo",6,0.5
2020-06-03,"San Sebastián",24,1.9
2020-06-03,"Santa Isabel",2,0.2
2020-06-03,"Toa Alta",26,2.1
2020-06-03,"Toa Baja",27,2.2
2020-06-03,"Trujillo Alto",26,2.1
2020-06-03,"Utuado",1,0.1
2020-06-03,"Vega Alta",12,1.0
2020-06-03,"Vega Baja",8,0.6
2020-06-03,"Villalba",12,1.0
2020-06-03,"Yabucoa",3,0.2
2020-06-03,"Yauco",18,1.4
2020-06-03,"Nueva York",7,
2020-06-03,"Nueva Jersey",2,
2020-06-03,"Florida",1,
2020-06-03,"Otro lugar fuera de PR",2,
2020-06-03,"No disponible",66,
2020-06-03,"Total",1322,
