name,fips,region,pop2010,popest2010,popest2011,popest2012,popest2013,popest2014,popest2015,popest2016,popest2017,popest2018,popest2019,pop2020,popest2020,popest2021
Adjuntas,72001,Ponce,19483,19471,19297,19116,19022,18798,18565,18304,17934,17289,17363,18020,17999,17987
Aguada,72003,Mayagüez,41959,41908,41524,41094,40695,40122,39541,38896,38019,36621,36694,38136,38105,37957
Aguadilla,72005,Mayagüez,60949,60785,59988,58987,58047,57089,55825,54425,52926,50574,50265,55101,54988,54409
Aguas Buenas,72007,Caguas,28659,28647,28328,28045,27776,27343,26914,26401,25814,24796,24814,24223,24191,24114
Aibonito,72009,Caguas,25900,25874,25537,25203,24883,24458,24049,23600,23060,22124,22108,24637,24584,24435
Añasco,72011,Mayagüez,29261,29267,29094,28849,28618,28314,27942,27554,26977,26037,26161,25596,25575,25541
Arecibo,72013,Arecibo,96440,96232,95024,93849,92967,91255,89641,87821,85423,82099,81966,87754,87613,87053
Arroyo,72015,Ponce,19575,19574,19434,19249,19074,18821,18538,18236,17833,17178,17238,15843,15838,15801
Barceloneta,72017,Arecibo,24816,24822,24815,24801,24825,24763,24609,24445,24157,23456,23727,22657,22686,22821
Barranquitas,72019,Bayamón,30318,30325,30193,30021,29879,29604,29309,28954,28476,27499,27725,28983,28983,29019
Bayamón,72021,Bayamón,208116,207675,204498,201028,197529,193121,188801,183993,178529,170366,169269,185187,184677,182673
Cabo Rojo,72023,Mayagüez,50917,50984,50813,50659,50555,50173,49788,49366,48628,47136,47515,47158,47200,47340
Caguas,72025,Caguas,142893,142861,141499,140096,138670,136610,134376,132120,129241,124344,124606,127244,127119,126756
Camuy,72027,Arecibo,35159,35112,34763,34379,34042,33514,32988,32371,31670,30456,30504,32827,32815,32743
Canóvanas,72029,Metro,47648,47690,47670,47654,47552,47280,46903,46395,45699,44271,44674,42337,42396,42556
Carolina,72031,Metro,176762,176442,173866,171138,168533,165337,161885,158339,154143,147542,146984,154815,154462,152993
Cataño,72033,Bayamón,28140,28091,27643,27188,26778,26233,25628,25047,24322,23239,23121,23155,23135,22861
Cayey,72035,Caguas,48119,48123,47681,47234,46778,46130,45472,44818,43901,42326,42409,41652,41620,41535
Ceiba,72037,Fajardo,13631,13595,13336,13072,12856,12537,12228,11908,11536,10997,10904,11307,11285,11118
Ciales,72039,Arecibo,18782,18744,18455,18190,17963,17671,17332,16997,16561,15869,15808,16984,16954,16828
Cidra,72041,Caguas,43480,43475,43159,42761,42444,41843,41210,40585,39713,38219,38307,39970,39958,39854
Coamo,72043,Ponce,40512,40591,40586,40481,40422,40170,39889,39489,38968,37849,38336,34668,34730,34950
Comerío,72045,Bayamón,20778,20795,20631,20495,20395,20200,19965,19654,19283,18572,18648,18883,18868,18882
Corozal,72047,Bayamón,37142,37123,36781,36419,36060,35548,34986,34375,33589,32259,32293,34571,34538,34460
Culebra,72049,Fajardo,1818,1820,1813,1814,1816,1813,1808,1795,1772,1715,1714,1792,1791,1787
Dorado,72051,Bayamón,38165,38228,38260,38220,38232,38068,37791,37441,36882,35761,36141,35879,35927,36110
Fajardo,72053,Fajardo,36993,36881,36227,35516,34842,33934,33069,32181,31165,29687,29454,32124,32035,31590
Florida,72054,Arecibo,12680,12684,12585,12507,12437,12327,12162,11978,11734,11293,11317,11692,11681,11642
