municipality,fips,households,households_error_pct,households_lt_10k_pct,households_lt_10k_error_pct,households_10k_15k_pct,households_10k_15k_error_pct,households_15k_25k_pct,households_15k_25k_error_pct,households_25k_35k_pct,households_25k_35k_error_pct,households_35k_50k_pct,households_35k_50k_error_pct,households_50k_75k_pct,households_50k_75k_error_pct,households_75k_100k_pct,households_75k_100k_error_pct,households_100k_150k_pct,households_100k_150k_error_pct,households_150k_200k_pct,households_150k_200k_error_pct,households_gte_200k_pct,households_gte_200k_error_pct,households_median,households_median_error,households_mean,households_mean_error
Adjuntas,72001,5771,196,37.4,3.9,15.4,2.9,17.1,2.9,12.0,2.5,10.7,2.6,5.3,1.5,0.9,0.6,0.8,0.8,0.3,0.5,0.1,0.1,14012,1363,20353,1820
Aguada,72003,12830,445,30.1,2.8,15.5,2.5,18.9,2.3,12.9,2.3,9.7,2.2,6.9,1.7,3.1,1.3,2.2,1.1,0.8,0.5,0.0,0.3,16738,1260,25777,1711
Aguadilla,72005,21635,524,34.0,1.9,13.3,1.6,16.2,1.7,11.0,1.5,10.2,1.5,9.1,1.6,3.1,0.9,2.1,0.6,0.3,0.3,0.5,0.3,16269,955,27068,1681
Aguas Buenas,72007,8488,319,26.9,3.7,13.6,3.2,19.7,3.5,12.8,2.8,13.2,2.9,9.5,2.1,1.9,1.1,1.2,0.7,0.6,0.6,0.6,0.5,19279,2824,28337,3006
Aibonito,72009,8592,286,23.4,3.0,13.6,2.5,21.2,3.4,15.6,2.9,11.7,2.7,9.8,2.3,2.0,0.9,2.5,1.4,0.2,0.3,0.1,0.2,20521,1842,28529,2460
Añasco,72011,8848,383,24.8,3.1,14.6,2.4,20.5,2.9,13.4,2.3,12.6,2.6,8.3,2.1,2.5,1.3,2.2,1.3,0.4,0.6,0.6,0.5,19919,1785,28080,2290
Arecibo,72013,31910,668,30.2,1.5,12.0,1.2,20.2,1.7,12.7,1.3,11.7,1.3,9.1,1.2,2.6,0.5,1.0,0.4,0.3,0.2,0.3,0.2,18647,1014,25841,1134
Arroyo,72015,5908,321,29.3,4.4,16.3,4.0,19.6,4.4,17.6,4.3,9.1,3.1,5.1,2.5,0.8,0.9,2.0,1.4,0.0,0.8,0.2,0.4,17570,2630,22785,1989
Barceloneta,72017,7989,322,31.2,4.5,12.5,3.2,21.2,3.9,11.2,3.0,11.5,3.4,7.2,2.5,3.4,1.6,1.5,1.2,0.3,0.4,0.0,0.6,17154,1861,24569,2453
Barranquitas,72019,8720,334,31.4,3.8,12.0,2.5,20.4,3.5,14.5,3.1,10.8,2.7,7.1,2.1,1.3,0.7,1.9,1.3,0.0,0.5,0.5,0.8,17036,1344,24466,2644
