municipality,fips,population,white_alone,white_alone_margin,black_alone,black_alone_margin,other_alone,other_margin,two_or_more,two_or_more_margin
Adjuntas,72001,17891,13128,817,182,104,4302,812,245,170
Aguada,72003,37954,32382,907,908,339,1194,478,3424,870
Aguadilla,72005,52803,42137,1054,1581,323,8076,991,798,265
Aguas Buenas,72007,25748,14050,986,2372,686,642,238,8433,1095
Aibonito,72009,22988,17250,753,3444,580,2084,542,173,115
Añasco,72011,26934,22150,910,522,267,2174,679,2087,594
Arecibo,72013,85390,66905,1384,3896,634,12664,1207,989,372
Arroyo,72015,17805,11406,873,3488,710,2600,673,311,194
Barceloneta,72017,24079,19688,870,860,400,3167,799,220,205
Barranquitas,72019,28393,24365,820,1214,401,1063,341,1735,739
Bayamón,72021,178192,122650,2183,15295,1062,10804,1030,28945,1834
Cabo Rojo,72023,48487,11020,1260,785,339,36047,1383,473,261
Caguas,72025,128937,98380,2126,10784,1082,15275,1712,3986,867
Camuy,72027,31598,27201,850,561,236,3624,732,212,136
Canóvanas,72029,45588,21976,1222,5069,838,17979,1410,289,190
Carolina,72031,153779,82892,2178,31571,1548,24822,1807,11968,1506
Cataño,72033,24271,16520,773,3181,475,3578,607,937,317
Cayey,72035,43785,27571,1360,2860,703,2026,583,11153,1254
Ceiba,72037,11515,7046,636,1009,291,3002,596,388,232
Ciales,72039,16513,15416,282,250,142,287,175,494,237
Cidra,72041,39607,28632,1154,3632,783,1684,503,5490,806
Coamo,72043,38906,25866,1192,11268,1222,1685,514,87,58
Comerío,72045,19224,15803,899,2217,600,1064,566,82,124
Corozal,72047,33500,27122,1207,2542,840,2793,752,1043,500
Culebra,72049,1311,710,185,77,41,429,156,64,59
Dorado,72051,36803,28643,1244,4700,891,1520,530,1893,455
Fajardo,72053,31111,17461,984,3355,611,9157,838,949,329
Florida,72054,11697,9778,577,183,206,1441,525,196,154
Guánica,72055,16293,9325,771,847,356,5896,721,190,94
Guayama,72057,40889,29882,1473,5760,1080,4186,849,851,474
Guayanilla,72059,18514,14531,652,399,181,3312,611,121,83
Guaynabo,72061,86937,65520,1485,6236,860,11421,1390,3564,845
Gurabo,72063,46910,30705,1512,6443,1154,8968,1264,698,430
Hatillo,72065,39950,38979,406,323,179,403,306,221,192
Hormigueros,72067,15943,4095,660,379,155,11201,658,268,141
Humacao,72069,52507,28090,1726,11307,1741,12119,1482,562,239
Isabela,72071,41707,27363,1536,2107,610,11826,1406,380,255
Jayuya,72073,14539,8421,1039,357,366,5272,975,431,306
Juana Díaz,72075,46152,20820,1454,4064,662,5357,859,15788,1418
Juncos,72077,38780,19060,1327,5232,901,12400,1341,1962,836
Lajas,72079,22835,5643,882,178,124,16844,871,158,141
Lares,72081,25696,18200,795,188,113,7251,807,47,59
Las Marías,72083,8370,3984,511,73,51,4263,524,50,56
Las Piedras,72085,37499,7645,1424,29056,1501,461,248,312,183
Loíza,72087,25778,6252,527,9983,701,9323,716,105,65
Luquillo,72089,18224,10988,656,1720,369,5075,573,387,213
Manatí,72091,38836,32326,892,1657,416,4317,808,338,208
Maricao,72093,6075,2699,504,92,100,3214,522,53,76
Maunabo,72095,10776,1351,362,9306,375,110,84,1,2
Mayagüez,72097,75232,20489,1250,2600,501,50281,1466,1696,511
Moca,72099,36161,29787,1038,1159,311,4848,990,338,200
Morovis,72101,30962,27244,794,628,323,1792,575,1264,437
Naguabo,72103,26075,18094,1312,954,475,6459,1277,475,334
Naranjito,72105,28112,23888,1006,2099,653,357,210,1768,710
Orocovis,72107,20982,16957,691,733,294,2022,441,1222,456
Patillas,72109,16929,2346,533,14307,547,256,168,20,30
Peñuelas,72111,20383,14556,751,748,326,4931,726,101,71
Ponce,72113,139671,108236,1897,8050,954,10293,1126,12901,1302
Quebradillas,72115,23629,20429,787,988,427,1975,645,171,162
Rincón,72117,14056,12075,429,53,54,576,374,1352,419
Río Grande,72119,49613,25770,1370,6574,1020,15973,1327,1059,351
Sabana Grande,72121,22560,15875,895,474,199,5771,877,385,227
Salinas,72123,28109,16127,874,10807,907,913,463,188,129
San Germán,72125,31442,18046,968,486,170,12717,997,156,112
San Juan,72127,335468,219146,4036,44472,2051,51470,2395,17862,1821
San Lorenzo,72129,37209,23337,989,11766,1074,617,336,1399,446
San Sebastián,72131,37120,24289,1128,1350,427,10758,1125,613,321
Santa Isabel,72133,21757,12622,807,8122,836,720,261,245,269
Toa Alta,72135,72864,60238,1487,5255,791,4274,1004,2668,761
Toa Baja,72137,77810,56358,1719,8869,1102,8520,1335,4042,701
Trujillo Alto,72139,66338,52693,1340,6670,970,3726,758,3113,798
Utuado,72141,28676,15154,874,296,167,12613,908,545,250
Vega Alta,72143,37106,26510,1263,3926,712,5724,1241,897,395
Vega Baja,72145,52192,43427,1105,2589,552,5582,1015,520,205
Vieques,72147,8642,4730,931,651,424,3151,911,88,125
Villalba,72149,22403,12713,872,773,286,2589,466,6328,838
Yabucoa,72151,33499,6244,806,26418,826,463,228,363,185
Yauco,72153,35428,26607,912,1346,393,6991,887,319,123
