municipality,abbreviation,county,fips
Adjuntas,ADJ,001,72001
Aguada,AGD,003,72003
Aguadilla,AGL,005,72005
Aguas Buenas,ABU,007,72007
Aibonito,AIB,009,72009
Añasco,ANA,011,72011
Arecibo,ARE,013,72013
Arroyo,ARR,015,72015
Barceloneta,BCL,017,72017
Barranquitas,BQT,019,72019
Bayamón,BAY,021,72021
Cabo Rojo,CAB,023,72023
Caguas,CAG,025,72025
Camuy,CAM,027,72027
Canóvanas,CAN,029,72029
Carolina,CAR,031,72031
Cataño,CAT,033,72033
Cayey,CAY,035,72035
Ceiba,CEI,037,72037
Ciales,CIA,039,72039
Cidra,CID,041,72041
Coamo,COA,043,72043
Comerío,COM,045,72045
Corozal,COR,047,72047
Culebra,CUL,049,72049
Dorado,DOR,051,72051
Fajardo,FAJ,053,72053
Florida,FLO,054,72054
Guánica,GNC,055,72055
Guayama,GYM,057,72057
Guayanilla,GYL,059,72059
Guaynabo,GYB,061,72061
Gurabo,GUR,063,72063
Hatillo,HAT,065,72065
Hormigueros,HOR,067,72067
Humacao,HUM,069,72069
Isabela,ISA,071,72071
Jayuya,JAY,073,72073
Juana Díaz,JUA,075,72075
Juncos,JUN,077,72077
Lajas,LAJ,079,72079
Lares,LAR,081,72081
Las Marías,LMA,083,72083
Las Piedras,LPI,085,72085
Loíza,LOI,087,72087
Luquillo,LUQ,089,72089
Manatí,MAN,091,72091
Maricao,MAR,093,72093
Maunabo,MAU,095,72095
Mayagüez,MAY,097,72097
Moca,MOC,099,72099
Morovis,MOR,101,72101
Naguabo,NAG,103,72103
Naranjito,NAR,105,72105
Orocovis,ORO,107,72107
Patillas,PAT,109,72109
Peñuelas,PEN,111,72111
Ponce,PON,113,72113
Quebradillas,QUE,115,72115
Rincón,RIN,117,72117
Río Grande,RGR,119,72119
Sabana Grande,SGR,121,72121
Salinas,SAL,123,72123
San Germán,SGE,125,72125
San Juan,SJU,127,72127
San Lorenzo,SLO,129,72129
San Sebastián,SSE,131,72131
Santa Isabel,SIS,133,72133
Toa Alta,TAL,135,72135
Toa Baja,TBA,137,72137
Trujillo Alto,TRU,139,72139
Utuado,UTU,141,72141
Vega Alta,VAL,143,72143
Vega Baja,VBA,145,72145
Vieques,VIE,147,72147
Villalba,VIL,149,72149
Yabucoa,YAB,151,72151
Yauco,YAU,153,72153
Puerto Rico,PRI,72,72
