municipality,fips,families,families_error_pct,families_lt_10k_pct,families_lt_10k_error_pct,families_10k_15k_pct,families_10k_15k_error_pct,families_15k_25k_pct,families_15k_25k_error_pct,families_25k_35k_pct,families_25k_35k_error_pct,families_35k_50k_pct,families_35k_50k_error_pct,families_50k_75k_pct,families_50k_75k_error_pct,families_75k_100k_pct,families_75k_100k_error_pct,families_100k_150k_pct,families_100k_150k_error_pct,families_150k_200k_pct,families_150k_200k_error_pct,families_gte_200k_pct,families_gte_200k_error_pct,families_median,families_median_error,families_mean,families_mean_error
Adjuntas,72001,4171,269,32.7,4.1,14.8,3.2,18.8,3.8,13.7,3.2,11.1,2.9,6.3,1.9,0.9,0.6,1.2,1.2,0.5,0.7,0.1,0.2,15846,1563,22341,2127
Aguada,72003,9406,418,24.8,3.1,13.3,2.4,20.1,3.0,14.2,2.6,11.8,2.6,8.3,2.1,3.6,1.6,2.9,1.5,0.9,0.6,0.0,0.5,19797,1761,29248,2274
Aguadilla,72005,14666,498,30.2,2.4,11.5,1.7,17.2,2.1,11.9,1.9,11.4,1.8,10.1,2.0,4.2,1.3,2.5,0.7,0.4,0.4,0.7,0.4,19084,1487,30167,2228
Aguas Buenas,72007,6206,403,25.0,4.4,10.5,3.2,20.1,4.5,13.1,3.1,15.3,3.6,10.8,2.7,2.3,1.5,1.7,1.0,0.8,0.8,0.5,0.5,22050,3185,31463,3910
Aibonito,72009,6181,376,17.6,2.7,12.3,2.6,22.7,3.9,17.0,3.3,12.3,2.9,12.3,2.8,1.9,1.1,3.5,1.9,0.2,0.4,0.2,0.2,23840,1861,32307,2991
Añasco,72011,6309,428,20.0,3.3,13.4,3.2,20.1,3.9,13.8,3.2,14.5,3.6,10.6,2.6,3.1,1.5,3.1,1.8,0.6,0.9,0.7,0.7,23543,1888,32207,3122
Arecibo,72013,21988,800,22.3,1.5,9.9,1.5,21.3,2.1,15.2,1.7,14.8,1.8,11.1,1.5,3.6,0.7,1.1,0.5,0.3,0.2,0.4,0.3,23147,1227,30146,1560
Arroyo,72015,4175,335,24.6,5.0,16.9,5.1,18.5,4.8,19.9,5.3,10.6,3.4,5.7,3.2,1.0,1.3,2.5,1.9,0.0,1.1,0.3,0.5,19447,4179,24921,2520
Barceloneta,72017,5649,343,25.0,4.5,11.7,3.7,24.5,4.5,13.2,4.0,12.8,4.1,8.1,3.2,3.0,1.8,1.4,1.5,0.4,0.6,0.0,0.8,19834,2276,26237,2908
Barranquitas,72019,6599,405,28.8,4.6,9.5,2.3,20.5,4.2,16.1,3.6,11.9,2.9,8.1,2.6,1.7,0.9,2.5,1.7,0.0,0.7,0.7,1.1,19682,2936,27336,3430
Bayamón,72021,46245,874,16.9,1.2,7.3,0.8,16.8,1.2,13.3,1.0,16.0,1.1,16.7,1.0,7.1,0.8,4.1,0.6,1.2,0.3,0.7,0.2,31746,1046,41252,1232
Cabo Rojo,72023,10242,590,25.9,3.3,11.6,2.3,20.2,2.7,13.7,2.2,11.7,2.0,10.0,2.2,3.4,1.4,2.4,1.1,0.8,0.7,0.4,0.5,20210,1913,29581,2891
Caguas,72025,32586,734,19.0,1.4,7.3,1.0,16.5,1.4,13.2,1.3,14.8,1.6,14.2,1.5,7.3,1.1,4.7,0.8,1.5,0.5,1.4,0.6,30529,1280,43004,2576
Camuy,72027,8209,387,20.6,3.2,14.8,2.7,23.0,3.5,13.5,2.6,11.0,2.6,10.9,2.5,3.1,1.4,2.5,1.4,0.3,0.3,0.3,0.3,20616,1347,31244,3637
Canóvanas,72029,10397,457,17.0,2.4,10.2,2.3,20.9,2.5,11.9,2.0,16.8,3.1,10.5,2.1,6.1,1.8,4.2,1.3,1.1,0.7,1.3,0.7,26523,2348,39844,3635
Carolina,72031,40435,964,14.4,1.3,6.4,0.9,15.8,1.3,15.6,1.4,16.6,1.3,17.2,1.6,6.6,0.7,4.8,0.8,1.3,0.5,1.3,0.4,33346,1311,45085,1820
Cataño,72033,6014,370,28.3,3.0,7.0,2.1,15.9,2.6,10.9,2.4,13.6,2.9,10.9,2.4,5.2,1.5,6.1,1.5,1.1,0.7,1.0,0.7,23657,3679,36456,2278
Cayey,72035,11437,539,17.8,2.5,9.7,2.0,21.3,2.8,13.9,2.2,13.7,2.6,11.9,2.3,5.6,1.7,3.8,1.1,1.3,0.9,1.0,0.8,25954,2365,37306,2756
Ceiba,72037,2772,242,19.9,5.3,9.3,4.3,24.5,5.9,19.0,5.2,14.6,4.4,7.0,3.2,2.8,2.0,2.6,2.2,0.0,1.6,0.3,0.4,22470,3498,29562,3377
Ciales,72039,4430,297,29.3,4.3,11.4,3.2,21.9,4.1,12.6,3.3,15.9,3.7,6.0,2.3,1.7,1.6,1.1,0.8,0.0,1.0,0.2,0.3,18779,1542,25637,4320
Cidra,72041,9339,338,21.4,2.6,11.1,2.5,21.7,2.7,11.5,1.8,15.0,2.3,10.7,1.9,4.3,1.6,3.2,1.0,0.7,0.6,0.3,0.4,22353,1434,32211,1760
Coamo,72043,9004,449,24.8,2.9,8.2,2.0,18.0,2.9,15.1,2.8,13.5,2.6,12.3,2.3,4.8,1.7,1.8,1.2,0.5,0.5,1.1,0.8,24332,2023,32784,2129
Comerío,72045,3759,268,30.4,5.0,13.7,3.3,23.5,4.4,13.9,3.3,10.0,3.0,5.2,2.3,2.6,1.5,0.6,1.1,0.0,1.2,0.0,1.2,16691,1449,21933,2386
Corozal,72047,7971,460,32.7,4.5,10.9,3.1,17.0,3.8,13.0,3.0,13.8,3.1,8.9,2.4,2.3,1.2,0.6,0.7,0.8,0.7,0.0,0.6,18003,1885,25029,2094
Culebra,72049,248,48,2.4,3.4,15.7,9.0,17.7,9.1,19.4,9.5,19.8,9.7,15.7,8.8,4.4,5.0,2.4,4.0,2.4,3.5,0.0,16.5,33646,4145,40404,7011
Dorado,72051,8409,491,14.1,3.2,5.0,1.7,18.0,3.1,9.8,2.7,14.6,2.9,15.5,3.3,10.1,2.6,6.6,2.4,2.7,1.3,3.6,1.5,37615,3108,57250,6238
